,Name,Age,Hometown,Boarded,Destination,Lifeboat,Body,Home country,Regio
3,"and cook, Miss Amelia Mary ""Mildred"" Brown[62]",18,"London, England, UK",Southampton,"Montreal, Quebec, Canada",11,,,London
8,"and nurse, Miss Alice Catherine Cleaver",22,"London, England, UK",Southampton,"Montreal, Quebec, Canada",11,,,London
36,"Borebank, Mr. John James",42,"London, England, UK",Southampton,"Toronto, Ontario, Canada",,,,London
65,"Cavendish, Mr. Tyrell William",36,"London, England, UK",Southampton,New York City,,172MB,,London
66,"Cavendish, Mrs. Julia Florence (née Siegel)",25,"London, England, UK",Southampton,New York City,6,,,London
67,"and maid, Miss Ellen ""Nellie"" Barber",26,"London, England, UK",Southampton,New York City,6,,,London
72,"Cherry, Miss Gladys",30,"London, England, UK",Southampton,"Vancouver, British Columbia, Canada",8,,,London
103,"Duff Gordon, Sir Cosmo Edmund",49,"London, England, UK",Cherbourg,New York City,1,,,London
104,"Duff Gordon, Lucy Christiana, Lady (née Sutherland)",48,"London, England, UK",Cherbourg,New York City,1,,,London
105,"and secretary, Miss Laura Mabel Francatelli",31,"London, England, UK",Cherbourg,New York City,1,,,London
118,"Franklin, Mr. Thomas Parnham",37,"London, England, UK",Southampton,"New York, New York, US",,,,London
119,"Frauenthal, Dr. Henry William",49,"London, England, UK",Southampton,"New York, New York, US",5,,,London
120,"Frauenthal, Mrs. Clara (née Heinsheimer)",42,"London, England, UK",Southampton,"New York, New York, US",5,,,London
121,"Frauenthal, Mr. Isaac Gerald",43,"London, England, UK",Southampton,"New York, New York, US",5,,,London
156,"Head, Mr. Christopher",42,"Chelsea, London, England, UK",Southampton,New York City,,,,London
180,"Lambert-Williams, Mr. Fletcher Fellows",43,"London, England, UK",Southampton,"Newark, New Jersey, US",,,,London
191,"Loring, Mr. Joseph Holland",30,"London, England, UK",Southampton,New York City,,,,London
223,"Partner, Mr. Austin",40,"Tolworth, London, England, UK",Southampton,"Toronto, Ontario, Canada",,166MB,,London
224,"Pears, Mr. Thomas Clinton",29,"Isleworth, London, England, UK",Southampton,New York City,,,,London
225,"Pears, Mrs. Edith (née Wearne)",22,"Isleworth, London, England, UK",Southampton,New York City,8,,,London
265,"Smith, Mr. Richard William",57,"Streatham, London, England, UK",Southampton,New York City,,,,London
277,"Stead, Mr. William Thomas",62,"London, England, UK",Southampton,New York City,,,,London
293,"Taylor, Mr. Elmer Zebley",48,"London, England, UK",Southampton,"East Orange, New Jersey, US",5,,,London
294,"Taylor, Mrs. Juliet Cummins (née Wright)",48,"London, England, UK",Southampton,"East Orange, New Jersey, US",5,,,London
323,"Woolner, Mr. Hugh",45,"London, England, UK",Southampton,New York City,D,,,London
340,"Beauchamp, Mr. Henry James",28,"London, England, UK",Southampton,New York City,,194MB,,London
345,"Beesley, Mr. Lawrence",34,"London, England, UK",Southampton,"Toronto, Ontario, Canada",13,,,London
349,"Bowenur, Mr. Solomon",42,"London, England",Southampton,New York City,,,,London
351,"Brailey, Mr. W. Theodore Ronald[63]",24,"London, England",Southampton,New York City,,,,London
361,"Byles, Father Thomas Roussel Davids",42,"London, England",Southampton,"Jacksonville, Florida, US",,,,London
366,"Cameron, Miss Clear Annie",35,"London, England, UK",Southampton,"Mamaronek, New York, US",14,,,London
369,"Carter, Father Ernest Courtenay",54,"London, England, UK",Southampton,New York City,,,,London
370,"Carter, Mrs. Lilian (née Hughes)",45,"London, England, UK",Southampton,New York City,,,,London
374,"Christy, Mrs. Alice Frances",45,"London, England, UK",Southampton,"Montreal, Quebec, Canada",12,,,London
375,"Christy, Miss Rachel Julie Cohen",25,"London, England, UK",Southampton,"Montreal, Quebec, Canada",12,,,London
379,"Coleridge, Mr. Reginald Charles",29,"London, England",Southampton,"Detroit, Michigan, US",,,,London
381,"Collett, Mr. Sidney Clarence Stuart",25,"London, England",Southampton,"Port Byron, New York, US",9,,,London
393,"Davis, Miss Mary",28,"London, England, UK",Southampton,"Tottenville, New York, US",13,,,London
422,"Giles, Mr. Ralph",25,"London, England",Southampton,New York City,,297MB,,London
431,"Harper, The Reverend John",39,"London, England",Southampton,"Chicago, Illinois, US",,,,London
432,"Harper, Miss Annie Jessie ""Nina""",6,"London, England",Southampton,"Chicago, Illinois, US",11,,,London
433,"Harris, Mr. George",62,"London, England",Southampton,New York City,15,,,London
434,"Harris, Mr. Walter",30,"London, England",Southampton,New York City,,,,London
462,"Jacobsohn, Mr. Sidney Samuel",40,"London, England",Southampton,"Montreal, Quebec, Canada",,,,London
463,"Jacobsohn, Mrs. Amy Frances Christy (née Cohen)",24,"London, England",Southampton,"Montreal, Quebec, Canada",12,,,London
474,"Kelly, Miss Florence ""Fannie""",45,"London, England",Southampton,New York City,9,,,London
477,"Krins, Mr. Georges Alexandré[63]",23,"London, England",Southampton,New York City,,,,London
487,"Leitch, Miss Jessie Wills",31,"London, England",Southampton,"Chicago, Illinois, US",11,,,London
490,"Leyson, Mr. Robert William Norman",25,"London, England",Southampton,New York City,,108MB,,London
505,"Mellinger, Mrs. Elizabeth Anne (née Maidment)",41,"Wimbledon, London, England",Southampton,"Bennington, Vermont, US",14,,,London
506,"Mellinger, Miss Madeleine Violet",13,"Wimbledon, London, England",Southampton,"Bennington, Vermont, US",14,,,London
507,"Mellors, Mr. William John",19,"Chelsea, London, England",Southampton,"Long Island, New York, US",B,,,London
508,"Meyer, Mr. August",31,"Harrow, London, England",Southampton,New York City,,,,London
521,"Nesson, Mr. Israel",26,"London, England",Southampton,"Boston, Massachusetts, US",,,,London
526,"Oxenham, Mr. Percy Thomas",22,"London, England",Southampton,"North Bergen, New Jersey, US",13,,,London
553,"Ridsdale, Miss Lucy",50,"London, England",Southampton,"Marietta, Ohio, US",13,,,London
558,"Sharp, Mr. Percival James",27,"London, England, UK",Southampton,New York City,,,,London
569,"Stokes, Mr. Philip Joseph",25,"London, England",Southampton,"Detroit, Michigan, US",,81MB,,London
571,"Taylor, Mr. Percy Cornelius[63]",32,"London, England",Southampton,New York City,,,,London
573,"Troupiansky, Mr. Moses Aaron",23,"London, England",Southampton,New York City,,,,London
598,"Whilems, Mr. Charles",32,"London, England",Southampton,New York City,9,,,London
600,"Williams, Mr. Charles Eugene",23,"Harrow, London, England",Southampton,"Chicago, Illinois, US",14,,,London
616,"Aks, Mrs. Leah (née Rosen)",18,London,Southampton,"Norfolk, Virginia, US",13,,England,London
617,"Aks, Master Frank Philip",10 mo.,London,Southampton,"Norfolk, Virginia, US",11,,England,London
624,"Allum, Mr. Owen George",15,"Southall, London",Southampton,New York City,,259MB,England,London
719,"Christmann, Mr. Emil",29,London,Southampton,New York City,,,England,London
723,"Cohen, Mr. Gershon ""Gus""",18,London,Southampton,"Brooklyn, New York, US",12,,England,London
736,"Corn, Mr. Henry ""Harry""",30,London,Southampton,New York City,,,England,London
738,"Coutts, Mrs. Mary Winnie (née Trainer)",36,London,Southampton,"Brooklyn, New York, US",2,,England,London
739,"Coutts, Master William Loch ""Willie""",9,London,Southampton,"Brooklyn, New York, US",2,,England,London
740,"Coutts, Master Neville Leslie",3,London,Southampton,"Brooklyn, New York, US",2,,England,London
741,"Coxon, Mr. Daniel",59,London,Southampton,"Merrill, Wisconsin, US",,,England,London
838,"Guest, Mr. Robert",32,London,Southampton,"Clinton, New York, US",,,England,London
857,"Harknett, Miss Alice Phoebe",21,"Thornton Heath, London",Southampton,"New London, Connecticut, US",,,England,London
904,"Johnston, Mr. Andrew Emslie",35,"Thornton Heath, London",Southampton,"New London, Connecticut, US",,,England,London
905,"Johnston, Mrs. Elizabeth (née Watson) ""Eliza""",34,"Thornton Heath, London",Southampton,"New London, Connecticut, US",,,England,London
906,"Johnston, Master William Andrew",8,"Thornton Heath, London",Southampton,"New London, Connecticut, US",,,England,London
907,"Johnston, Miss Catherine Nellie",7,"Thornton Heath, London",Southampton,"New London, Connecticut, US",,,England,London
988,"Mackay, Mr. George William",20,London,Southampton,"Rochester, New York, US",,,England,London
993,"Maisner, Mr. Simon",34,London,Southampton,New York City,,,England,London
1020,"Miesnere, Mr. Simon",34,"London, England",Southampton,New York City,,,England,London
1025,"Miles, Mr. Frank",23,"Greenwich, London",Southampton,New York City,,,England,London
1033,"Moore, Mr. Leonard Charles",19,"Kingston upon Thames, London",Southampton,"Hoboken, New Jersey, US",,,England,London
1040,"Moutal, Mr. Rahamin Haim",28,London,Southampton,New York City,,,England,London
1046,"Murdlin, Mr. Joseph",22,London,Southampton,New York City,,,England,London
1118,"Pearce, Mr. Ernest",32,London,Southampton,New York City,,,England,London
1120,"Peduzzi, Mr. Giuseppe",24,London,Southampton,New York City,,,England,London
1141,"Reynolds, Mr. Harold J.",21,London,Southampton,"Toronto, Ontario, Canada",,327MM,England,London
1160,"Roth, Miss Sarah A.",26,London,Southampton,New York City,C,,England,London
1169,"Sadowitz, Mr. Harry",17,London,Southampton,"Providence, Rhode Island, US",,,England,London
1206,"Sirota, Mr. Maurice",20,London,Southampton,New York City,,,England,London
1217,"Slocovski, Mr. Selman Francis",20,London,Southampton,New York City,,,England,London
1223,"Spector, Mr. Woolf",23,London,Southampton,New York City,,,England,London
1236,"Sunderland, Mr. Victor Francis",20,London,Southampton,"Cleveland, Ohio, US",B,,England,London
1238,"Sutehall Jr., Mr. Henry",25,London,Southampton,"Buffalo, New York, US",,,England,London
1265,"Van Billiard, Mr. Austin Blyler",35,London,Southampton,"North Wales, Pennsylvania, US",,255MB,England,London
1266,"Van Billiard, Master James William",10,London,Southampton,"North Wales, Pennsylvania, US",,,England,London
1267,"Van Billiard, Master Walter John",9,London,Southampton,"North Wales, Pennsylvania, US",,1{?}MB[89][90],England,London
1285,"Ware, Mr. Frederick William",34,"Greenwich, London",Southampton,New York City,,,England,London
1300,"Wiseman, Mr. Phillippe",54,London,Southampton,"Quebec City, Quebec, Canada",,,England,London
20,"Barkworth, Mr. Algernon Henry Wilson",47,"Hessle, East Yorkshire, England, UK",Southampton,New York City,B,,,Yorkshire and the Humber
37,"Bowerman, Miss Elsie Edith",22,"St Leonards-on-Sea, East Sussex, England, UK",Southampton,New York City,6,,,South East
74,"Chibnall, Mrs. Edith Martha Bowerman (née Barber)",48,"St Leonards-on-Sea, East Sussex, England, UK",Southampton,New York City,6,,,South East
811,"Ford, Mrs. Margaret Ann (née Watson)",48,"Rotherfield, East Sussex",Southampton,"Essex County, New Jersey, US",,,England,South East
812,"Ford, Miss Dollina Margaret",20,"Rotherfield, East Sussex",Southampton,"Essex County, New Jersey, US",,,England,South East
813,"Ford, Mr. Edward Watson",18,"Rotherfield, East Sussex",Southampton,"Essex County, New Jersey, US",,,England,South East
814,"Ford, Mr. William Neal Thomas",16,"Rotherfield, East Sussex",Southampton,"Essex County, New Jersey, US",,,England,South East
815,"Ford, Miss Robina Maggie",7,"Rotherfield, East Sussex",Southampton,"Essex County, New Jersey, US",,,England,South East
1017,"Meanwell, Mrs. Mary Ann",63,"Eastbourne, East Sussex",Southampton,New York City,,,England,South East
1203,"Shorney, Mr. Charles Joseph",22,"Heron's Ghyll, East Sussex",Southampton,"New York, US",,240{?}MB,England,South East
11,"Andrews, Mr. Thomas[63]",39,"Belfast, Ireland, UK",Belfast,New York City,,,,Ireland
75,"Chisholm, Mr. Roderick Robert Crispin[63]",40,"Belfast, Ireland, UK",Belfast,New York City,,,,Ireland
79,"Colley, Mr. Edward Pomeroy",37,"Dublin, Ireland, UK[note 1]",Southampton,"Vancouver, British Columbia, Canada",,,,Ireland
222,"Parr, Mr. William Henry Marsh[63]",29,"Belfast, Ireland, UK",Belfast,New York City,,,,Ireland
367,"Campbell, Mr. William Henry[63]",21,"Belfast, Ireland",Belfast,New York City,,,,Ireland
389,"Cunningham, Mr. Alfred Fleming[63]",21,"Belfast, Ireland",Belfast,New York City,,,,Ireland
411,"Frost, Mr. Anthony Wood ""Artie""[63]",37,"Belfast, Northern Ireland, UK",Belfast,New York City,,,,Ireland
424,"Gillespie, Mr. William Henry",34,"Abbeyleix, Laois, Ireland[note 1]",Southampton,"Vancouver, British Columbia, Canada",,,,Ireland
472,"Keane, Mr. Daniel",35,"Limerick, Ireland[note 1]",Queenstown,"St Louis, Missouri, US",,,,Ireland
473,"Keane, Miss Nora Agnes",46,"Castleconnell, Limerick, Ireland[note 1]",Queenstown,"Harrisburg, Pennsylvania, US",10,,,Ireland
476,"Knight, Mr. Robert J.[63]",39,"Belfast, Ireland",Belfast,New York City,,,,Ireland
481,"Lamb, Mr. John Joseph",30,"Glencree, Ireland[note 1]",Queenstown,"Providence, Rhode Island, US",,,,Ireland
515,"Myles, Mr. Thomas Francis",63,"Fermoy, Ireland[note 1]",Queenstown,"Waban, Massachusetts, US",,,,Ireland
531,"Parkes, Mr. Francis ""Frank""[63]",18,"Belfast, Ireland",Belfast,New York City,,,,Ireland
583,"Watson, Mr. Ennis Hastings[63]",15,"Belfast, Northern Ireland, UK",Belfast,New York City,,,,Ireland
