,Name,Age,Hometown,Boarded,Position,Lifeboat,Survived,latitude,longitude,altitude,country
0,"Anderson, Mr. James",40,"Southampton, Hampshire, England",Southampton,Able Seaman,16,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
1,"Anderson, Mr. John",41,"Southampton, Hampshire, England",Southampton,Able Seaman,16,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
2,"Archer, Mr. Ernest Edward",36,"Southampton, Hampshire, England",Southampton,Able Seaman,3,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
3,"Bailey, Mr. Joseph Henry",43,"Southampton, Hampshire, England",Southampton,Master-at-arms,16,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
4,"Bradley, Mr. T.",29,"Southampton, Hampshire, England",Southampton,Able Seaman,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
5,"Brice, Mr. Walter T.",42,"Southampton, Hampshire, England",Southampton,Able Seaman,11,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
6,"Bright, Mr. Arthur John",41,"Woolston, Hampshire, England",Southampton,Quartermaster,D,True,51.3017496,-1.0535822,0.0,United Kingdom
7,"Buley, Mr. Edward John",27,"Southampton, Hampshire, England",Southampton,Able Seaman,10,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
8,"Clench, Mr. Frederick",34,"Southampton, Hampshire, England",Southampton,Able Seaman,12,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
9,"Clench, Mr. George James",31,"Southampton, Hampshire, England",Southampton,Able Seaman,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
10,"Couch, Mr. Frank",28,"Port Isaac, Cornwall",Southampton,Able Seaman,,False,50.5938787,-4.8299895,0.0,United Kingdom
12,"Evans, Mr. Alfred Frank",24,"Southampton, Hampshire, England",Southampton,Lookout,15,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
13,"Evans, Mr. Frank Oliver",24,"Southampton, Hampshire, England",Southampton,Able Seaman,10,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
