,Name,Age,Hometown,Home country,Boarded,Destination,Lifeboat,Survived,Position,latitude,longitude,altitude,country
0,"Abbing, Mr. Anthony",40,"Cincinnati, Ohio",US,Southampton,"Cincinnati, Ohio, US",,False,ThirdClass,39.1014537,-84.5124602,0.0,United States
1,"Abbott, Mrs. Rhoda Mary (née Hunt)",39,"East Providence, Rhode Island",US,Southampton,"East Providence, Rhode Island, US",A,True,ThirdClass,41.8137116,-71.3700545,0.0,United States
2,"Abbott, Mr. Rossmore Edward",16,"East Providence, Rhode Island",US,Southampton,"East Providence, Rhode Island, US",,False,ThirdClass,41.8137116,-71.3700545,0.0,United States
3,"Abbott, Mr. Eugene Joseph",14,"East Providence, Rhode Island",US,Southampton,"East Providence, Rhode Island, US",,False,ThirdClass,41.8137116,-71.3700545,0.0,United States
4,"Abd al-Khaliq, Mr. Farid Qasim Husayn",18,Shana,Lebanon,Cherbourg,New York City,,False,ThirdClass,11.533774,10.9705,0.0,Nigeria
5,"Abelseth, Miss Karen Marie",16,Sunnmøre,Norway,Southampton,"Los Angeles, California, US",16,True,ThirdClass,62.34163785,5.890219084398547,0.0,Norge
6,"Abelseth, Mr. Olaus Jørgensen",25,"Perkins County, South Dakota",US,Southampton,"Perkins County, South Dakota, US",A,True,ThirdClass,45.5288022,-102.5053545,0.0,United States
7,"Abrahamsson, Mr. Abraham August Johannes",20,Dalsbruk,Finland,Southampton,"Hoboken, New Jersey, US",15,True,ThirdClass,60.0209926,22.5067673,0.0,Suomi / Finland
10,"Adams, Mr. John",26,"Bournemouth, Dorset",England,Southampton,"La Porte City, Iowa, US",,False,ThirdClass,50.7269716,-1.9001239,0.0,United Kingdom
12,"Aks, Mrs. Leah (née Rosen)",18,London,England,Southampton,"Norfolk, Virginia, US",13,True,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
13,"Aks, Master Frank Philip",10 mo.,London,England,Southampton,"Norfolk, Virginia, US",11,True,ThirdClass,51.5073219,-0.1276474,0.0,United Kingdom
14,"Al-Muna, Mr. Nasif Qasim",26,"Fredericksburg, Virginia",US,Cherbourg,"Fredericksburg, Virginia, US",15,True,ThirdClass,38.3031837,-77.4605399,0.0,United States
15,"Alexander, Mr. William",23,"Great Yarmouth, Norfolk",England,Southampton,"Albion, Michigan, US",,False,ThirdClass,52.6072426,1.7310768,0.0,United Kingdom
16,"Alhomäki, Mr. Ilmari Rudolf",19,Salo,Finland,Southampton,"Astoria, Oregon, US",,False,ThirdClass,60.3846716,23.1286377,0.0,Suomi / Finland
17,"Ali, Mr. Ahmed",24,Buenos Aires,Argentina,Southampton,New York City,,False,ThirdClass,-34.6075682,-58.4370894,0.0,Argentina
18,"Ali, Mr. William",25,Buenos Aires,Argentina,Southampton,New York City,,False,ThirdClass,-34.6075682,-58.4370894,0.0,Argentina
19,"Allen, Mr. William Henry",35,"Birmingham, West Midlands",England,Southampton,New York City,,False,ThirdClass,52.4796992,-1.9026911,0.0,United Kingdom
20,"Allum, Mr. Owen George",15,"Southall, London",England,Southampton,New York City,,False,ThirdClass,51.5111461,-0.3755169,0.0,United Kingdom
21,"Al-Zainni, Mr. Fahim Ruhanna",22,Toula,Lebanon,Cherbourg,"Dayton, Ohio, US",6,True,ThirdClass,54.1930321,37.61754,0.0,Россия
22,"Andersen, Mr. Albert Karvin",33,Bergen,Norway,Southampton,New York City,,False,ThirdClass,60.3943055,5.3259192,0.0,Norge
23,"Andersen-Jensen, Miss Carla Christine",19,Eskilstrup,Denmark,Southampton,"Portland, Oregon, US",16,True,ThirdClass,54.855665450000004,11.881905259818325,0.0,Danmark
24,"Andersson, Mr. Anders Johan",39,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,False,ThirdClass,57.9875021,15.622841,0.0,Sverige
25,"Andersson, Mrs. Alfrida Konstantia (née Brogren)",39,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,False,ThirdClass,57.9875021,15.622841,0.0,Sverige
26,"Andersson, Miss Sigrid Elisabeth",11,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,False,ThirdClass,57.9875021,15.622841,0.0,Sverige
27,"Andersson, Miss Ingeborg Constanzia",9,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,False,ThirdClass,57.9875021,15.622841,0.0,Sverige
28,"Andersson, Miss Ebba Iris Alfrida",6,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,False,ThirdClass,57.9875021,15.622841,0.0,Sverige
29,"Andersson, Master Sigvard Harald Elias",4,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,False,ThirdClass,57.9875021,15.622841,0.0,Sverige
30,"Andersson, Miss Ellis Anna Maria",2,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,False,ThirdClass,57.9875021,15.622841,0.0,Sverige
31,"Andersson, Miss Erna Alexandra",17,Ruotsinpyhtää,Finland,Southampton,New York City,D,True,ThirdClass,60.5220579,26.4695781,0.0,Suomi / Finland
33,"Andersson, Mr. Johan Samuel",26,"Hartford, Connecticut",US,Southampton,"Hartford, Connecticut, US",,False,ThirdClass,41.7655582,-72.69061276146614,0.0,United States
