,Name,Age,Hometown,Boarded,Position,Lifeboat,Survived,latitude,longitude,altitude,country
0,"Abbott, Mr. Ernest Owen",21,"Southampton, Hampshire, England",Southampton,First Class Lounge Pantry Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
1,"Ahier, Mr. Percy Snowden",20,"Southampton, Hampshire, England",Southampton,First Class Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
2,"Akerman, Mr. Albert",28,"Southampton, Hampshire, England",Southampton,Third Class Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
3,"Akerman, Mr. Joseph Francis",35,"Southampton, Hampshire, England",Southampton,Asst. Pantry Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
4,"Allan, Mr. Robert Spencer",36,"Shirley, Hampshire, England",Southampton,First Class Bedroom Steward,,False,50.783826,-1.5735367,0.0,United Kingdom
5,"Allen, Mr. George",26,"Southampton, Hampshire, England",Southampton,Scullion,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
6,"Allen, Mr. Frederick",17,"Southampton, Hampshire, England",Southampton,Lift Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
7,"Allsop, Mr. Frank Richard",41,"Southampton, Hampshire, England",Southampton,Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
8,"Anderson, Mr. Walter J.",48,"Southampton, Hampshire, England",Southampton,Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
9,"Andrews, Mr. Charles Edward",19,"Southampton, Hampshire, England",Southampton,Assistant Second Class Saloon Steward,16,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
10,"Ashcroft, Mr. Austin Aloysius",26,"Seacombe, Cheshire, England",Southampton,Clerk,,False,53.273176,-2.9256714,0.0,United Kingdom
11,"Ashe, Mr. Henry Wellesley",32,"Liverpool, Lancashire, England",Southampton,Glory Hole Steward,,False,53.6326141,-2.8105631,0.0,United Kingdom
12,"Ayling, Mr. George Edwin",22,"Southampton, Hampshire, England",Southampton,Assistant Vegetable Cook,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
13,"Back, Mr. Charles Frederick",32,"Southampton, Hampshire, England",Belfast,Assistant Lounge Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
14,"Baggott, Mr. Allen Marden",28,"Itchen, Hampshire, England",Southampton,First Class Saloon Steward,9,True,51.0893892,-1.2887593,0.0,United Kingdom
15,"Bagley, Mr. Edward Ernest",31,"Southampton, Hampshire, England",Southampton,First Class Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
16,"Bailey, Mr. George Francis",36,"Shepperton, London, England",Belfast,Second Class Saloon Steward,,False,51.5374584,-0.0867114,0.0,United Kingdom
17,"Ball, Mr. Percy",19,"Southampton, Hampshire, England",Southampton,First Class Plate Steward,13,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
18,"Barker, Mr. Albert Vale",19,"Winchester, Hampshire, England",Southampton,Assistant Baker,,False,51.0612766,-1.3131692,0.0,United Kingdom
19,"Barker, Mr. Ernest T.",37,"London, England",Southampton,First Class Saloon Steward,,False,51.5073219,-0.1276474,0.0,United Kingdom
20,"Barker, Mr. Reginald Lomond",40,"Southampton, Hampshire, England",Belfast,Assistant Purser,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
21,"Barlow, Mr. George",36,"Southampton, Hampshire, England",Southampton,Second Class Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
22,"Barnes, Mr. Frederick",37,"Southampton, Hampshire, England",Southampton,Assistant Baker,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
23,"Barratt, Mr. Arthur",15,"Southampton, Hampshire, England",Southampton,Bell Boy,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
24,"Barringer, Mr. Arthur William",33,"Southampton, Hampshire, England",Belfast,First Class Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
25,"Barrow, Mr. Harry",35,"Southampton, Hampshire, England",Southampton,Assistant Butcher,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
26,"Barrows, Mr. William",32,"London, England",Southampton,First Class Saloon Steward,,False,51.5073219,-0.1276474,0.0,United Kingdom
27,"Barton, Mr. Sidney John",25,"Southampton, Hampshire, England",Southampton,Third Class Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
28,"Baxter, Mr. Harry Ross",51,"Southampton, Hampshire, England",Southampton,Third Class Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
29,"Baxter, Mr. Thomas Ferguson",48,"Southampton, Hampshire, England",Southampton,Linen Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
30,"Bedford, Mr. William Barnet",31,"Itchen, Hampshire, England",Southampton,Assistant Roast Cook,,False,51.0893892,-1.2887593,0.0,United Kingdom
31,"Beedem, Mr. George Arthur",34,"London, England",Southampton,Second Class Bedroom Steward,,False,51.5073219,-0.1276474,0.0,United Kingdom
32,"Beere, Mr. William",19,"Southampton, Hampshire, England",Southampton,Kitchen Porter,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
33,"Benham, Mr. Frederick",29,"Southampton, Hampshire, England",Southampton,Second Class Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
34,"Bennett, Mrs. Mabel",30,"Southampton, Hampshire, England",Southampton,First Class Stewardess,5,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
35,"Bessant, Mr. Edward William",31,"Southampton, Hampshire, England",Southampton,Baggage Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
36,"Best, Mr. Alfred",38,"Southampton, Hampshire, England",Belfast,First Class Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
37,"Blake, Mr. Seaton",26,"Southampton, Hampshire, England",Belfast,Mess Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
38,"Bishop, Mr. Walter Alexander",34,"Southampton, Hampshire, England",Belfast,First Class Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
39,"Bliss, Mrs. Emma (née Junod)",45,"London, England",Southampton,First Class Stewardess,15,True,51.5073219,-0.1276474,0.0,United Kingdom
40,"Bochatay, Mr. Alexis Joseph",30,"Southampton, Hampshire, England",Southampton,Assistant Chef,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
41,"Bogie, Mr. Norman Leslie",29,"Eastleigh, Hampshire, England",Southampton,Second Class Bedroom Steward,,False,50.9202316,-1.299273639634381,0.0,United Kingdom
42,"Bond, Mr. William John",40,"Southampton, Hampshire, England",Belfast,First Class Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
43,"Boothby, Mr. W.",36,"Southampton, Hampshire, England",Southampton,Second Class Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
44,"Boston, Mr. William John",30,"Southampton, Hampshire, England",Belfast,Assistant Deck Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
45,"Boughton, Mr. B.",24,"Southampton, Hampshire, England",Southampton,First Class Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
46,"Boyd, Mr. John",35,"Southampton, Hampshire, England",Southampton,First Class Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
47,"Boyes, Mr. John Henry",36,"Southampton, Hampshire, England",Belfast,First Class Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
